"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(6.0.0)","BWA.NGDPD.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Current prices, US dollar","Annual","4.805","4.926","5.011","4.808","5.413","5.682","5.46","5.395","7.469","8.819","9.833","9.919","10.566","10.731","10.118","12.637","15.111","13.907","14.272","15.47","13.531","15.083","16.105","17.032","16.696","14.93"
"IMF.RES:WEO(6.0.0)","BTN.NGDPD.A","OBS_VALUE","Bhutan","Gross domestic product (GDP), Current prices, US dollar","Annual","0.308","0.324","0.362","0.398","0.418","0.454","0.474","0.517","0.616","0.7","0.818","0.876","1.071","1.353","1.274","1.511","1.842","1.931","1.967","1.933","2.126","2.218","2.445","2.651","2.618","2.586"
"IMF.RES:WEO(6.0.0)","BGR.NGDPD.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, US dollar","Annual","18.992","12.295","11.317","15.031","13.628","13.246","14.183","16.403","21.146","26.158","29.868","34.38","44.432","54.476","52.024","50.69","57.682","54.297","55.82","57.081","50.766","53.929","59.288","66.398","68.889","70.311"
"IMF.RES:WEO(6.0.0)","BRA.NGDPD.A","OBS_VALUE","Brazil","Gross domestic product (GDP), Current prices, US dollar","Annual","770.86","851.146","883.862","864.307","599.642","655.454","559.982","509.798","558.232","669.29","891.633","1107.628","1397.114","1695.855","1669.204","2208.704","2614.027","2464.053","2471.718","2456.055","1800.046","1796.622","2063.519","1916.934","1873.286","1476.092"
"IMF.RES:WEO(6.0.0)","BRN.NGDPD.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, US dollar","Annual","7.153","7.204","7.043","5.353","5.779","6.65","6.206","6.475","7.266","8.723","10.561","12.71","13.571","15.949","11.892","13.707","18.525","19.048","18.094","17.098","12.93","11.4","12.128","13.567","13.469","12.006"
"IMF.RES:WEO(6.0.0)","BFA.NGDPD.A","OBS_VALUE","Burkina Faso","Gross domestic product (GDP), Current prices, US dollar","Annual","2.676","2.909","2.753","3.155","3.388","2.961","3.19","3.62","4.74","5.449","6.15","6.548","7.627","9.45","9.44","10.118","12.078","12.569","13.444","13.947","11.833","12.829","14.094","15.916","16.031","17.754"
"IMF.RES:WEO(6.0.0)","BDI.NGDPD.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, US dollar","Annual","1.0","0.868","0.972","0.893","0.866","0.87","0.877","0.825","0.785","0.915","1.117","1.273","1.356","1.612","1.775","2.032","2.236","2.333","2.456","2.706","3.104","2.96","3.172","3.037","3.012","3.086"
"IMF.RES:WEO(6.0.0)","CPV.NGDPD.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Current prices, US dollar","Annual","0.57","0.611","0.609","0.648","0.693","0.699","0.791","0.867","1.105","1.263","1.395","1.452","1.65","1.96","1.852","1.825","2.047","1.913","2.029","2.042","1.75","1.855","1.965","2.073","2.231","1.831"
"IMF.RES:WEO(6.0.0)","KHM.NGDPD.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, US dollar","Annual","3.43","3.509","3.462","3.132","3.522","3.707","4.154","4.507","5.054","5.879","7.058","8.342","10.117","12.162","12.49","13.796","16.017","17.829","19.806","22.04","24.217","26.591","29.394","33.181","36.682","34.898"
"IMF.RES:WEO(6.0.0)","CAF.NGDPD.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","1.117","1.0","0.979","1.036","1.039","0.868","0.899","0.983","1.188","1.31","1.413","1.538","1.755","2.033","2.059","2.141","2.435","2.512","1.692","1.896","1.696","1.825","2.072","2.28","2.278","2.389"
"IMF.RES:WEO(6.0.0)","CHN.NGDPD.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","730.996","860.468","957.991","1024.167","1088.346","1205.532","1333.649","1465.829","1656.962","1949.446","2290.019","2754.149","3555.655","4577.28","5088.992","6033.83","7492.212","8539.584","9624.928","10524.241","11113.508","11226.897","12265.327","13841.812","14340.6","14862.564"
"IMF.RES:WEO(6.0.0)","CMR.NGDPD.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Current prices, US dollar","Annual","10.075","11.227","11.352","11.338","11.553","10.245","10.95","12.369","15.944","18.803","19.534","20.912","23.931","27.712","27.903","27.53","30.626","30.174","33.729","36.396","32.213","33.805","36.086","39.992","39.673","40.863"
"IMF.RES:WEO(6.0.0)","COL.NGDPD.A","OBS_VALUE","Colombia","Gross domestic product (GDP), Current prices, US dollar","Annual","110.564","116.13","127.49","117.725","103.132","99.27","97.606","97.353","94.072","116.382","145.601","161.793","206.229","242.504","232.469","286.498","334.966","370.691","382.093","381.24","293.493","282.72","311.889","334.124","323.055","270.348"
"IMF.RES:WEO(6.0.0)","TCD.NGDPD.A","OBS_VALUE","Chad","Gross domestic product (GDP), Current prices, US dollar","Annual","2.23","2.479","2.382","2.69","2.37","2.142","2.638","3.076","4.227","6.816","9.097","10.249","11.993","14.354","12.998","14.289","16.237","16.174","16.92","18.213","14.508","13.4","13.344","15.334","14.917","14.615"
"IMF.RES:WEO(6.0.0)","CAN.NGDPD.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, US dollar","Annual","605.941","630.598","655.01","634.004","678.417","744.631","738.968","760.149","895.599","1026.473","1173.505","1319.356","1468.896","1552.864","1376.509","1617.345","1793.327","1828.362","1846.595","1805.751","1556.508","1527.996","1649.266","1725.3","1743.725","1655.685"
"IMF.RES:WEO(6.0.0)","COD.NGDPD.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","25.021","32.099","28.819","21.089","19.147","19.077","7.246","8.72","9.022","10.275","12.72","15.403","18.598","22.665","18.626","22.34","26.406","30.074","34.908","38.355","40.154","38.086","39.461","48.037","50.891","49.613"
