variable,year,value
ATIT_imiy,1998,0.008449
ATIT_imiy,1999,0.007535
ATIT_imiy,2000,0.007763
ATIT_imiy,2001,0.007741
ATIT_imiy,2002,0.007145
ATIT_imiy,2003,0.006691
ATIT_imiy,2004,0.006721
ATIT_imiy,2005,0.006358
ATIT_imiy,2006,0.006391
ATIT_imiy,2007,0.006483
ATIT_imiy,2008,0.006702
ATIT_imiy,2009,0.005869
ATIT_imiy,2010,0.005841
ATIT_imiy,2011,0.006115
ATIT_imiy,2012,0.005823
ATIT_imiy,2013,0.005737
ATIT_imiy,2014,0.005666
ATIT_imiy,2015,0.005721
ATIT_imiy,2016,0.005961
ATIT_imiy,2017,0.006110
ATIT_imiy,2018,0.006190
ATIT_imiy,2019,0.006300
ATIT_imiy,2020,0.006104
ATIT_imiy,average,0.006480
ATNL_imcgy,1995,0.000884
ATNL_imcgy,1996,0.000900
ATNL_imcgy,1997,0.000711
ATNL_imcgy,1998,0.000747
ATNL_imcgy,1999,0.000819
ATNL_imcgy,2000,0.000654
ATNL_imcgy,2001,0.000660
ATNL_imcgy,2002,0.000728
ATNL_imcgy,2003,0.000768
ATNL_imcgy,2004,0.000735
ATNL_imcgy,2005,0.000727
ATNL_imcgy,2006,0.000686
ATNL_imcgy,2007,0.000699
ATNL_imcgy,2008,0.000774
ATNL_imcgy,2009,0.000784
ATNL_imcgy,2010,0.000734
ATNL_imcgy,2011,0.000701
ATNL_imcgy,2012,0.000628
ATNL_imcgy,2013,0.000633
ATNL_imcgy,2014,0.000644
ATNL_imcgy,2015,0.000659
ATNL_imcgy,2016,0.000622
ATNL_imcgy,2017,0.000661
ATNL_imcgy,2018,0.000756
ATNL_imcgy,2019,0.000733
ATNL_imcgy,2020,0.000800
ATNL_imcgy,average,0.000719
ATNL_imcy,1995,0.006512
ATNL_imcy,1996,0.006480
ATNL_imcy,1997,0.005476
ATNL_imcy,1998,0.005536
ATNL_imcy,1999,0.005693
ATNL_imcy,2000,0.005129
ATNL_imcy,2001,0.004948
ATNL_imcy,2002,0.005328
ATNL_imcy,2003,0.005379
ATNL_imcy,2004,0.005054
ATNL_imcy,2005,0.004737
ATNL_imcy,2006,0.004529
ATNL_imcy,2007,0.004698
ATNL_imcy,2008,0.004749
ATNL_imcy,2009,0.004523
ATNL_imcy,2010,0.004509
ATNL_imcy,2011,0.004478
ATNL_imcy,2012,0.004169
ATNL_imcy,2013,0.004159
ATNL_imcy,2014,0.004190
ATNL_imcy,2015,0.004354
ATNL_imcy,2016,0.004109
ATNL_imcy,2017,0.004357
ATNL_imcy,2018,0.004565
ATNL_imcy,2019,0.004386
ATNL_imcy,2020,0.004213
ATNL_imcy,average,0.004715
ATNL_imigy,1995,0.000085
ATNL_imigy,1996,0.000088
ATNL_imigy,1997,0.000071
ATNL_imigy,1998,0.000076
ATNL_imigy,1999,0.000077
ATNL_imigy,2000,0.000063
