imcy,,,,,,,,,,,,,,,,_imy,,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAK,1.70E-05,4.00E-05,6.90E-05,0.000178,2.90E-05,6.00E-05,1.10E-05,3.90E-05,2.00E-05,2.40E-05,,3.50E-05,2.00E-05,1.30E-05,,EAK,0.0045,,,,,,,,,,,,,,
EAL,0.001812,0.003737,0.001754,0.0009,0.001195,0.001049,0.000468,0.00123,0.000822,0.001248,0.000886,,0.000312,0.000199,,EAL,0.1153,,,,,,,,,,,,,,
RW,0.004477,0.003935,0.0043,0.002453,0.004567,0.002551,0.002159,0.005733,0.002229,0.003686,0.001539,0.003784,,0.002705,,RW,0.3548,,,,,,,,,,,,,,
US,0.000461,0.000352,0.000763,0.000259,0.000568,0.000468,0.000226,0.004688,0.000198,0.000939,0.00017,0.000484,0.00168,,,US,0.0232,,,,,,,,,,,,,,
Total,0.009173,0.010184,0.010896,0.005513,0.008217,0.005915,0.004164,0.015459,0.00469,0.007768,0.00587,0.006578,0.0028,0.003421,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,_imcg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
,,,,,,,,,,,,,,,,EAA,,0.00782888,0.006522394,0.001477008,0.004743715,0.001504376,0.00101338,0.003912994,0.003686789,0.002554095,0.001020286,0.002417512,0.000312401,0.000173246,
,,,,,,,,,,,,,,,,EAB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAG,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAH,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAJ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RW,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,_imi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
,,,,,,,,,,,,,,,,EAA,,0.01867443,0.011257286,0.003814821,0.010993568,0.004777461,0.001407295,0.010097762,0.007052987,0.004761721,0.002044754,0.008316724,0.00119815,0.000655184,
,,,,,,,,,,,,,,,,EAB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAG,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAH,,,,,,,,,,,,,,,
