PARAMETER VALUES EVOLUTION
==========================

                 steady0    steady1a    steady1b      steady2       steady3      steady4       steady6      steady7  
BE_nuc           0.5        0.65        0.65          0.65          0.65         0.65          0.65         0.65     
BE_nutc          0.5        0.2         0.2           0.2           0.2          0.2           0.2994       0.2994   
BE_mui           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_mumi          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_muti          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_nui           0.5        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_nuti          0.5        0.2         0.2           0.2           0.2          0.2           0.3307       0.3307   
BE_mucg          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_mumcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_mutcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_nucg          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
BE_nutcg         0.5        0.5         0.5           0.5           0.5          0.5           0.8275       0.8275   
BE_muig          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_mumig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_mutig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_nuig          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
BE_nutig         0.5        0.5         0.5           0.5           0.5          0.5           0.8645       0.8645   
BE_omega         0.25       0.25        0.25          0.25          0.25         0.25          0.25         0.25     
BE_phitb         0.1        0.1         0.1           0.1           0.1          0.1           0.1          0.1      
BE_pi4target     1          1           1.02          1.02          1.02         1.02          1.02         1.02     
BE_psin          0          0.28        0.28          0.28          0.28         0.28          0.28         0.28     
BE_psit          0          0.2         0.1051        0.1051        0.1051       0.1051        0.1017       0.1017   
BE_rhocg         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhoig         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhorp         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotauc       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotaud       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotauk       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotaun       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotauwf      0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotauwh      0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhotr         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhowcst       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhozcon       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhozinv       0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhozn         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_rhozt         0.9        0.9         0.9           0.9           0.9          0.9           0.9          0.9      
BE_sigma         1          1           1             1             1            1             1            1        
BE_size          0.07143    0.07143     0.07143       0.07143       0.07143      0.07143       0.006939     0.006939 
BE_xin           0.1        0.92        0.92          0.92          0.92         0.92          0.92         0.92     
BE_xih           0.1        0.92        0.92          0.92          0.92         0.92          0.92         0.92     
BE_xii           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_xij           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_xix           0.1        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_zeta          2          2           2             2             2            2             2            2        
BE_eta           1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
BE_etai          1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
BE_etaj          1.1        4.33        4.33          4.33          4.33         4.33          4.33         4.33     
BE_thetan        1.1        3           3             3             3            3             3            3        
BE_thetat        1.1        6           6             6             6            6             6            6        
BE_upsilont      1          1           1.2           1.2           1.2          1.2           1.2          1.2      
BE_upsilontr     1          1           0.6667        0.6667        0.6667       0.6667        0.6667       0.6667   
BERA_rerbar      1          1           0.9763        0.9763        0.9903       0.9837        0.847        0.847    
BEAT_rerbar      1          1           0.997         0.997         1            0.9963        1.038        1.038    
BEES_rerbar      1          1           0.9704        0.9704        0.9792       0.9735        0.9731       0.9731   
BEFI_rerbar      1          1           0.9889        0.9889        0.9884       0.9807        0.9692       0.9692   
BEFR_rerbar      1          1           0.9771        0.9771        0.9773       0.9698        0.9544       0.9544   
BEGR_rerbar      1          1           0.946         0.946         0.9539       0.944         0.8765       0.8765   
BEIT_rerbar      1          1           0.9822        0.9822        0.9913       0.9888        1.038        1.038    
BENL_rerbar      1          1           0.9668        0.9668        0.9658       0.9574        0.8752       0.8752   
BEPT_rerbar      1          1           0.9612        0.9612        0.9708       0.9647        0.9613       0.9613   
BEDE_rerbar      1          1           0.9818        0.9818        0.9867       0.9856        0.9926       0.9926   
BERU_rerbar      1          1           0.9838        0.9838        0.9856       0.9784        0.9528       0.9528   
BERW_rerbar      1          1.035       0.9659        0.9659        0.9812       0.9584        0.8321       0.8321   
BEUS_rerbar      1          1.572       1.277         1.277         1.314        1.292         0.8934       0.8934   
BE_pibar         1          0.9806      0.9751        0.9751        0.9762       0.9749        0.9737       0.9737   
BE_psinbar       0          0.3398      0.2466        0.2466        0.2394       0.2626        0.2604       0.2604   
BE_psitbar       0          0.5613      0.2531        0.2531        0.247        0.2693        0.2983       0.2983   
BE_pybar         1          0.9732      0.9985        0.9985        0.9912       0.9995        1.048        1.048    
BE_qbar          1          0.9806      0.9751        0.9751        0.9762       0.9749        0.9737       0.9737   
BE_tybar         0.002      0.002       0.06152       0.06156       0.06153      0.06156       0.08216      0.08216  
BE_ybar          0.3265     4.02        3.288         3.288         3.204        3.499         3.862        3.862    
BE_ynbar         0.1633     1.214       0.8808        0.8808        0.8551       0.9379        0.9301       0.9301   
BE_ytbar         0.1633     2.806       2.407         2.407         2.349        2.561         2.932        2.932    
ES_alphan        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
ES_alphat        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
ES_beta          0.99       0.99        0.9926        0.9926        0.9926       0.9926        0.9926       0.9926   
ES_bfytarget     0          0           -0.15         -0.15         -0.15        -0.15         -1.21        -1.21    
ES_bhytarget     0          0           0             0             0            0             0            0        
ES_bytarget      0          0           2.81          2.81          2.81         2.81          2.81         2.81     
ES_chin          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_chih          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_chii          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
ES_chij          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
ES_chix          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_delta         0.025      0.025       0.025         0.025         0.025        0.025         0.025        0.025    
ES_gammab1       0.2        0.2         0.2           0.2           0.2          0.2           0.01         0.01     
ES_gammai1       1          1           1             1             1            1             6            6        
ES_gammaimc1     1          1           1             1             1            1             2            2        
ES_gammaimi1     1          1           1             1             1            1             1            1        
ES_gammaimcg1    1          1           1             1             1            1             2            2        
ES_gammaimig1    1          1           1             1             1            1             1            1        
ES_gammau2       1          1           1             1             1            1             2000         2000     
ES_gammav1       0.02       0.0267      0.0267        0.02871       0.02871      0.02871       0.02871      0.02871  
ES_gammav2       0.1        0.1284      0.1284        0.1503        0.1503       0.1503        0.1503       0.1503   
ES_kappa         0          0.7         0.7           0.7           0.7          0.7           0.7          0.7      
ES_muc           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_mumc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_mutc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_nuc           0.5        0.65        0.65          0.65          0.65         0.65          0.65         0.65     
ES_nutc          0.5        0.2         0.2           0.2           0.2          0.2           0.6612       0.6612   
ES_mui           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_mumi          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_muti          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_nui           0.5        0.75        0.75          0.75          0.75         0.75          0.75         0.75     
ES_nuti          0.5        0.2         0.2           0.2           0.2          0.2           0.5926       0.5926   
ES_mucg          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_mumcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_mutcg         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_nucg          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
ES_nutcg         0.5        0.5         0.5           0.5           0.5          0.5           0.8787       0.8787   
ES_muig          1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
ES_mumig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_mutig         1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
ES_nuig          0.5        0.8         0.8           0.8           0.8          0.8           0.8          0.8      
ES_nutig         0.5        0.5         0.5           0.5           0.5          0.5           0.8907       0.8907   
ES_omega         0.25       0.25        0.25          0.25          0.25         0.25          0.25         0.25     
ES_phitb         0.1        0.1         0.1           0.1           0.1          0.1           0.1          0.1      
ES_pi4target     1          1           1.02          1.02          1.02         1.02          1.02         1.02     
